artistName	artistID	genre	img	popularity	numFollowers
B T S	3Nrfpe0tUJi4K4DXYWgMUX	k-pop	https://i.scdn.co/image/0c9057cb30520f9f883a220051260fc66a2f3ffa	91	7756200
Green Day	7oPftvlwr6VrsViSDV7fJY	permanent wave	https://i.scdn.co/image/b6a3f82183adb83b6e47cb22afc25724b241d038	82	7726359
Nirvana	6olE6TJLqED3rqDCT0FyPh	alternative rock	https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b	81	7676560
Dua Lipa	6M2wZ9GZgrQXHCFfjv46we	dance pop	https://i.scdn.co/image/7a957e4544ecf57f090c402987d306c927c60297	91	7658506
Michael Jackson	3fMbdgg4jU18AjLCKBhRSm	pop	https://i.scdn.co/image/51dad9aaabe5643818840207a9a8957c2ad91bf2	86	7644488
Pink Floyd	0k17h0D3J5VfsdmQ1iZtE9	album rock	https://i.scdn.co/image/e69f71e2be4b67b82af90fb8e9d805715e0684fa	83	7565305
Chris Brown	7bXgB6jMjp9ATFy66eO08Z	dance pop	https://i.scdn.co/image/dd72e5f293cdd39a6f35a7a790d58a5a8922d84e	89	7552166
Wiz Khalifa	137W8MRPWKqSmrBGDBFSop	hip hop	https://i.scdn.co/image/d4fa8db4cbbafeca714b5501d173b78d54bd02d5	88	7526969
Future	1RyvyyTE3xzB2ZywiAwp0i	pop	https://i.scdn.co/image/73b8cb3a941edc26d280a8df971229d1b31e6b5a	92	7373903
Camila Cabello	4nDoRrQiYLoBzwC5BhVJzF	dance pop	https://i.scdn.co/image/f391d0fa675f28ad50d3041a9b1803e5e4c0a5c3	88	7355490
Sam Smith	2wY79sveU1sp5g7SokKOiI	pop	https://i.scdn.co/image/6318ebb61a9105a86c0add8a0a99b633a0301931	90	7338817
Lana Del Rey	00FQb4jTyendYWaN8pK0wa	pop	https://i.scdn.co/image/56a3782b07eab32b5340f164c566349450ee84cd	84	7331732
Justin Timberlake	31TPClRtHm23RisEBtV3X7	dance pop	https://i.scdn.co/image/646fba36b604f30e0c59f9d1043ee0b105ccd5e0	83	7275770
Miley Cyrus	5YGY8feqx7naU7z4HrwZM6	dance pop	https://i.scdn.co/image/ae71f02aececa87c716a4e0abe39f703c9054d59	80	7255801
Fifth Harmony	1l8Fu6IkuTP0U5QetQJ5Xt	dance pop	https://i.scdn.co/image/c5e2e813755c107d8f4b068ec1001ea0f91409f1	78	6994368
Arctic Monkeys	7Ln80lUS6He07XvHI8qqHH	garage rock	https://i.scdn.co/image/ed0552e9746ed2bbf04ae4bcb5525700ca31522d	85	6929940
Lil Wayne	55Aa2cqylxrFIXC767Z865	hip hop	https://i.scdn.co/image/3254e6574f08a55daaedceebd67f2721fffb57fe	93	6888482
Skrillex	5he5w2lnU9x7JFhnwcekXX	brostep	https://i.scdn.co/image/e352d8a030acf0c2858a74c5710dc2640b1b4e63	81	6882770
J. Cole	6l3HvQ5sa6mXTsMTB19rO5	conscious hip hop	https://i.scdn.co/image/839defbfdeb72488b3b495e2c4e89990933f0167	88	6775596
Marshmello	64KEffDW9EtZ1y2vBYgq8T	brostep	https://i.scdn.co/image/65f40b9a99ebb96921d5366537cdff7d5661d914	90	6684836
Anitta	7FNnA9vBm6EKceENgCGRMb	baile pop	https://i.scdn.co/image/b5865347165a843f35d8abdaeeab3277a043926b	84	6631246
Usher	23zg3TcAtWQy7J6upgbUnj	dance pop	https://i.scdn.co/image/e11ebc670e5b5fec7a765ae974e114f394236b9b	82	6608634
Meghan Trainor	6JL8zeS1NmiOftqZTRgdTz	dance pop	https://i.scdn.co/image/30bf754c8a18d05291b3498affd8ad3d3adc74ff	82	6582313
Romeo Santos	5lwmRuXgjX8xIwlnauTZIP	bachata	https://i.scdn.co/image/c589df6f852fd6e35daa2d5268586892f42d9954	85	6550894
Flo Rida	0jnsk9HBra6NMjO2oANoPY	dance pop	https://i.scdn.co/image/2d0b5f483c7ed95b7c3c63147c3d38f9366b2c21	81	6531477
Pitbull	0TnOYISbd1XYRBk9myaseg	dance pop	https://i.scdn.co/image/c82dfff224bfb7fe29e0364a5aacc55da29b465b	82	6410122
Jason Derulo	07YZf4WDAMNwqr4jfgOZ8y	dance pop	https://i.scdn.co/image/300b459748ce4d11ce1e222eb3d7dff8e854d6da	85	6208427
One Republic	5Pwc4xIPtQLFEnJriah9YJ	dance pop	https://i.scdn.co/image/c52d6c4414892e4eebe6ae7a3d3d441f7728139b	83	6208025
Z A Y N	5ZsFI1h6hIdQRw2ti0hz81	dance pop	https://i.scdn.co/image/4c11c7fa089bc8b71f4d7420e420a29d2fcec84a	83	6111065
Led Zeppelin	36QJpDe2go2KgaRleHCDTp	album rock	https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e	81	6094478
Lady Gaga	1HY2Jd0NmPuamShAr6KMms	dance pop	https://i.scdn.co/image/6fdeaf010a560e24ed9fdfab939dd0ab01d3d32c	93	6044442
Charlie Puth	6VuMaDnrHyPL1p4EHjYLi7	dance pop	https://i.scdn.co/image/47963112e07a107bc02e14fd5f297cc82c76d92a	84	5790255
The Rolling Stones	22bE4uQ6baNwSHPVcDxLCe	album rock	https://i.scdn.co/image/4226d2bbee2c44866eb0db3c88da0f26d7d12d5d	81	5780042
Jennifer Lopez	2DlGxzQSjYe5N6G9nkYghR	dance pop	https://i.scdn.co/image/ff43581eee26081911255b2247d99c0ea67021b0	80	5597459
Ellie Goulding	0X2BH1fck6amBIoJhDVmmJ	dance pop	https://i.scdn.co/image/dbe3b15594aa436d7952f86abef1c8f24e11a5aa	83	5574934
Fall Out Boy	4UXqAaa6dQYAk18Lv7PEgX	emo	https://i.scdn.co/image/d621cb41aac5fbc406f124bae66c184d58205d5f	83	5528252
Aerosmith	7Ey4PD4MYsKc5I2dolUwbH	album rock	https://i.scdn.co/image/c9cffe61851b0d00f4f44c0e4e10d6e723e32c93	78	5520200
Foo Fighters	7jy3rLJdDQY21OgRLCZ9sD	alternative metal	https://i.scdn.co/image/c1a1b1ba6e7f40a1ac584481bdd6b3c2f305a35c	80	5505687
Alicia Keys	3DiDSECUqqY1AuBP8qtaIa	hip pop	https://i.scdn.co/image/05e25d030a1caa1611b1e7248d89b557d9867258	79	5461138
Britney Spears	26dSoYclwsYLMAKD3tpOr4	dance pop	https://i.scdn.co/image/b5b3e504b0ff5961e1ceba381a417fc89008c1ce	81	5403032
Panic! At The Disco	20JZFwl6HVl6yg8a4H3ZqK	emo	https://i.scdn.co/image/58518a04cdd1f20a24cf0545838f3a7b775f8080	88	5394510
Alan Walker	7vk5e3vY1uw9plTHJAMwjN	edm	https://i.scdn.co/image/973892c89b735468a3722347465f58ee7d70e942	86	5360628
Big Sean	0c173mlxpT3dSFRgMO8XPh	detroit hip hop	https://i.scdn.co/image/7af4c101861c482e6fdd9f33f73d037f136afe36	85	5308396
P!nk	1KCSPY1glIKqW2TotWuXOR	dance pop	https://i.scdn.co/image/afc2d276d9c1b398d4f1048c20584f926296b9c0	83	5303172
Lil Uzi Vert	4O15NlyKLIASxsJ0PrXPfz	rap	https://i.scdn.co/image/17f68c8464b468546a6b0a717708842a3cc4b79d	89	5292367
Cardi B	4kYSro6naA4h99UJvo89HB	pop	https://i.scdn.co/image/264e844105a9b9da0c3bc8b49eb40e3d61a49089	95	5183337
Amy Winehouse	6Q192DXotxtaysaqNPy5yR	neo soul	https://i.scdn.co/image/316a6ef4535c377bdfaea61c99177de9d19661b4	79	5144677
2 Pac	1ZwdS5xdxEREPySFridCfh	g funk	https://i.scdn.co/image/fdb2382075f400ca2f2fbddaebb93add82ca8f32	82	5121465
Major Lazer	738wLrAtLtCtFOLvQBXOXp	dance pop	https://i.scdn.co/image/ceb94ba9f97a679040d13e4446bd25a70fe53518	83	4970759
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	electro	https://i.scdn.co/image/1914cb5697a8d1564dba418a27a7551d7243b79c	82	4802067
Mumford & Sons	3gd8FJtBJtkRxdfbTu19U2	modern rock	https://i.scdn.co/image/e6cc6b6df9cfef069b80926192c273e16b6d1bfd	84	4694704
